"","V1","V1.6","V1.5","V1.4","V1.3","deploymentID","V1.2","speciesName","project","subproject","treatment","deploymentName","idType","sequenceID","beginTime","endTime","commonName","age","sex","individuallyIDentifiable","count","fuzzed","begin","end","beginDate","endDate","julianDay","year","month","quarter","actualDateOut","retrievalDate","plotName","plotTreatment","cameraFailureDetails","deploymentNotes","baitType","baitDescription","baitStatus","trails","feature","featureTypeMethodology","detectionDistance","trapNights","tdiff","dayOfDeployment","Binom","AmericanBeaverBinom","AmericanBlackBearBinom","AmericanMinkBinom","AmericanRedSquirrelBinom","AppalachianCottontailBinom","BobcatBinom","CoyoteBinom","DomesticCatBinom","DomesticDogBinom","EasternChipmunkBinom","EasternCottontailBinom","EasternFoxSquirrelBinom","EasternGraySquirrelBinom","EasternSpottedSkunkBinom","EasternWoodratBinom","ElkAkaRedDeerBinom","GreyFoxBinom","LongTailedWeaselBinom","MarshRabbitBinom","NineBandedArmadilloBinom","NorthAmericanOtterBinom","NorthernBobwhiteBinom","NorthernRaccoonBinom","RedFoxBinom","RedWolfBinom","RuffedGrouseBinom","SouthernFlyingSquirrelBinom","StripedSkunkBinom","SwampRabbitBinom","UnknownCanidBinom","UnknownFelidBinom","UnknownFlyingSquirrelBinom","UnknownRabbitHareBinom","UnknownSmallRodentBinom","UnknownSquirrelBinom","VirginiaOpossumBinom","WhiteTailedDeerBinom","WildBoarBinom","WildTurkeyBinom","WoodchuckBinom","V1.1","AmericanBeaver","AmericanBlackBear","AmericanMink","AmericanRedSquirrel","AppalachianCottontail","Bobcat","Coyote","DomesticCat","DomesticDog","EasternChipmunk","EasternCottontail","EasternFoxSquirrel","EasternGraySquirrel","EasternSpottedSkunk","EasternWoodrat","ElkAkaRedDeer","GreyFox","LongTailedWeasel","MarshRabbit","NineBandedArmadillo","NorthAmericanOtter","NorthernBobwhite","NorthernRaccoon","RedFox","RedWolf","RuffedGrouse","SouthernFlyingSquirrel","StripedSkunk","SwampRabbit","UnknownCanid","UnknownFelid","UnknownFlyingSquirrel","UnknownRabbitHare","UnknownSmallRodent","UnknownSquirrel","VirginiaOpossum","WhiteTailedDeer","WildBoar","WildTurkey","Woodchuck","avgPrecip","avgTemp","avgCloud","avgEVI","building100","building200","building300","building400","building500","building600","building700","building800","building900","building1000","distToBuilding","distToStream","streamLength1km","streamLength5km","distToRoad","actualLon","actualLat"
"233",233,233,233,233,233,"d22740",233,"Camera Trapper","North Carolina's Candid Critters Project","Wake County","Woods","Hahn_E_Wake1","Researcher","d22740s1","22:35:42","22:36:00","Camera Trapper","Adult","Male","N",1,FALSE,"2017-03-05 22:35:42","2017-03-05 22:36:00","2017-03-05","2017-03-05",64,2017,3,1,"2017-03-05","2017-03-26","Large Forest","Woods","NULL","","No Bait","NULL","no bait","no trails","Water source/Spring","Creek",20,21,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,41,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2.19602570274316e-05,292.92087566879,27.2242245360948,0.384839449132362,7,31,56,96,160,256,420,603,810,1027,11.158714169855,10.5066784036752,265.969717348237,13.1299803289945,37.2270721111061,-78.6760769315118,35.7433997842085
"234",234,234,234,234,234,"d22743",234,"Camera Trapper","North Carolina's Candid Critters Project","Watauga County","","ElkKnobSP_Open_21","Researcher","d22743s1","11:40:48","11:40:51","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-04-16 11:40:48","2017-04-16 11:40:51","2017-04-16","2017-04-16",106,2017,4,2,"2017-04-16","2017-05-07","","","NULL","There were questions about camera settings so I checked camera settings on 4/14.   This resulted in creation of 2nd file...both are uploaded.   It appears that camera also took some pictures at certain time of day at intervals.   I will review camera setup to prevent this at next deployment.   Please provide feedback if you know why this occurred.   Thanks.","No Bait","NULL","no bait","no trails","Not Entered","",16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6.69291128160706e-06,293.04387432503,28.0588574198983,0.404349129907474,0,0,0,0,0,0,2,4,5,10,608.293673222794,499.871829808384,1066.69592782572,1623.14049001868,639.609533731941,-81.707032548853,36.3308414615919
"235",235,235,235,235,235,"d22744",235,"Camera Trapper","North Carolina's Candid Critters Project","Alamance County","Woods","James_P_Alamance1","Researcher","d22744s1","17:46:16","17:46:16","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-02 17:37:11","2017-03-01 17:46:16","2017-03-01","2017-03-01",60,2017,3,1,"2017-03-01","2017-03-25","Small Forest","Woods","NULL","My first attempt at loading this apparently resulted in an error.  Sorry for the delay.","No Bait","NULL","no bait","no trails","Water source/Spring","Stream",18,24,85855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,2.58137910946089e-05,292.331877456099,32.7266780050642,0.432894977290344,0,8,22,44,60,75,94,114,127,150,100.138192966362,384.531675134784,333.707566307304,454.290932322245,54.8540103535162,-79.5391581033897,35.950482889637
"236",236,236,236,236,236,"d22745",236,"Camera Trapper","North Carolina's Candid Critters Project","Cleveland County","Woods","Drum_D_Cleveland2","Researcher","d22745s1","17:47:09","17:47:11","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-02 17:47:09","2017-03-02 17:47:11","2017-03-02","2017-03-02",61,2017,3,1,"2017-03-02","2017-03-23","Large Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Water source/Spring","Stream",9.75,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5.02186081787705e-05,290.271546311792,33.5355463940572,0.433656897586671,1,3,4,4,4,4,5,7,11,14,58.7255060883276,456.042547358507,1757.46119688248,72.367485434931,851.591678256641,-81.6240964544328,35.1772914393334
"237",237,237,237,237,237,"d22756",237,"Camera Trapper","North Carolina's Candid Critters Project","Granville County","Woods","Holcombe_D_Granville1","Researcher","d22756s8","20:56:11","20:56:16","Camera Trapper","Adult","Male","N",1,FALSE,"2017-03-23 17:46:39","2017-04-13 20:56:16","2017-04-13","2017-04-13",103,2017,4,2,"2017-03-23","2017-04-13","Small Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Water source/Spring","Stream",50,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2.65489946436503e-05,290.165829267282,34.6204170577486,0.383860319107765,5,16,33,65,95,124,147,164,171,188,42.3015752731439,830.069762501111,167.72961215543,2324.24490852338,84.8386885897839,-78.5608972941888,36.1456706657444
"238",238,238,238,238,238,"d22758",238,"Camera Trapper","North Carolina's Candid Critters Project","Orange County","Woods","Cook_D_Orange1","Researcher","d22758s1","17:40:57","17:40:59","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2016-01-29 17:40:57","2016-01-29 17:40:59","2016-01-29","2016-01-29",29,2016,1,1,"2016-01-29","2016-02-29","Small Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Water source/Spring","Stream",7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,5.12122306249133e-05,293.231921108381,31.2323935380242,0.396735343304244,0,5,11,20,35,44,53,64,80,98,110.86945859383,232.408774968759,1560.1211923277,285.964610470566,139.06545849198,-79.0250881129687,36.2246758255045
"239",239,239,239,239,239,"d22759",239,"Camera Trapper","North Carolina's Candid Critters Project","Orange County","Woods","Barnes_P_Orange2","Researcher","d22759s31","10:26:43","10:26:47","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-04-12 03:23:01","2017-04-16 10:26:47","2017-04-16","2017-04-16",106,2017,4,2,"2017-03-24","2017-04-16","Small Forest","Woods","NULL","Camera-trapper did not take a picture of herself at deployment. First images on the file are consistent with the date of deployment,  ","No Bait","NULL","no bait","no trails","Not Entered","",9,23,76862,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2.35815517103827e-05,291.325499370655,27.1526931590768,0.401108370302262,0,1,7,13,20,39,70,119,179,243,199.749040924932,0.265943933541419,255.939145317631,1194.28540484219,239.103341941948,-79.0437290927783,35.858420135865
"240",240,240,240,240,240,"d22760",240,"Camera Trapper","North Carolina's Candid Critters Project","Durham County","Woods","Cook_D_Durham1","Researcher","d22760s1","10:55:21","10:55:23","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2016-02-29 10:55:21","2016-02-29 10:55:23","2016-02-29","2016-02-29",60,2016,2,1,"2016-02-29","2016-03-21","Large Forest","Woods","NULL","Date stamp is wrong.  I set it up as 2016 when should have been 2017 and 1 day early.  Has been corrected for subsequent deployment.  As I learn to use the camera better, I probably had the camera tilted too much for the slope.","No Bait","NULL","no bait","no trails","Not Entered","",7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.23744969860966e-05,290.706985542343,25.8579768459984,0.397425536616919,0,0,5,38,73,132,206,269,349,440,233.208883768386,159.756079678382,139.917000682839,173.372023567369,302.220722193303,-78.9444386470263,36.0694378416866
"241",241,241,241,241,241,"d22761",241,"Camera Trapper","North Carolina's Candid Critters Project","Durham County","Woods","Cook_D_Durham2","Researcher","d22761s1","10:08:08","10:08:10","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-22 10:08:08","2017-03-22 10:08:10","2017-03-22","2017-03-22",81,2017,3,1,"2017-03-22","2017-04-12","Large Forest","Woods","NULL","Eno River State Park, directly behind park ranger residence back yard looking away from the house.","No Bait","NULL","no bait","no trails","Not Entered","",15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9.20669583705879e-05,290.832489108569,37.6278417917497,0.371477778344453,0,0,0,6,16,30,59,102,153,241,327.897791283264,185.3797974443,139.917000682839,173.372023567369,337.889676331337,-78.9643964618118,36.0638467284239
"242",242,242,242,242,242,"d22763",242,"Camera Trapper","North Carolina's Candid Critters Project","Chatham County","Trail","Upshaw_A_Chatham1","Researcher","d22763s1","10:17:37","10:18:01","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-14 10:17:37","2017-03-14 10:18:01","2017-03-14","2017-03-14",73,2017,3,1,"2017-03-14","2017-03-26","Large Forest","Trail","NULL","","No Bait","NULL","no bait","trails","Water source/Spring","Stream",8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8.07564938858233e-06,294.821544373152,22.6079776435717,0.402326940342646,0,1,1,3,5,13,19,30,38,39,173.645692432482,91.456819559803,1141.59755078736,1111.70635373821,1.21471892395003,-79.3124930508177,35.7171282324127
"243",243,243,243,243,243,"d22765",243,"Camera Trapper","North Carolina's Candid Critters Project","Stokes County","Woods","Kayser_S_Stokes1","Researcher","d22765s2","10:49:38","10:50:20","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-29 05:32:24","2017-04-14 10:50:20","2017-04-14","2017-04-14",104,2017,4,2,"2017-03-29","2017-04-14","Large Forest","Woods","NULL","This has been a disappointing deployment and my first.  Apparently, the camera did not fire when I thought it did upon startup on 03/23/2017.  I do not see anything for that date.  Then only a few dark and unrecognizable photos were taken in an area where I know there to be quite a bit of activity.  The camera then fired upon pickup today.  ","No Bait","NULL","no bait","no trails","Not Entered","",10.3632,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34651348029362e-05,291.7741166053,39.5207342124881,0.394985157335415,0,2,12,15,22,36,53,83,109,123,115.526546190523,4.50092246110184,173.427257252749,1514.65009010967,250.05015967189,-80.4303072229168,36.2783187904926
"244",244,244,244,244,244,"d22767",244,"Camera Trapper","North Carolina's Candid Critters Project","Watauga County","Woods","Wright_P_Watauga2","Researcher","d22767s1","14:42:50","14:42:55","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-24 14:42:50","2017-03-24 14:42:55","2017-03-24","2017-03-24",83,2017,3,1,"2017-03-24","2017-04-13","Large Forest","Woods","NULL","Poor site selection and/or camera aiming. All sequences, except for one, were either of myself or the wind moving foliage. All foliage within 4' was removed. Had quite a bit of wind during this deployment timeframe. Camera seemed to be aimed correctly when checked","No Bait","NULL","no bait","no trails","Not Entered","",12.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.67077971099487e-05,291.769323519147,28.1292359345306,0.39268923927079,0,5,13,20,36,42,48,60,72,85,119.918411227457,267.12384426665,2079.59572665731,859.816134973535,157.240843355036,-81.8517591309737,36.3239522193234
"245",245,245,245,245,245,"d22769",245,"Camera Trapper","North Carolina's Candid Critters Project","Rowan County","Woods","Almond_L_Rowan3","Researcher","d22769s1","10:50:13","10:50:26","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-24 10:50:13","2017-03-24 10:50:26","2017-03-24","2017-03-24",83,2017,3,1,"2017-03-24","2017-04-13","Small Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1.99518139177163e-05,291.532487735782,29.7553166134128,0.388160923068933,0,0,1,1,5,7,10,12,17,17,267.108276090263,35.489877836434,1319.85542887321,288.181453749684,168.036827245015,-80.6802030766047,35.6509704986053
"246",246,246,246,246,246,"d22770",246,"Camera Trapper","North Carolina's Candid Critters Project","Watauga County","Open","Kitchen_B_Watauga1","Researcher","d22770s1","13:50:30","13:50:37","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-06 13:50:30","2017-03-06 13:50:37","2017-03-06","2017-03-06",65,2017,3,1,"2017-03-06","2017-03-26","Yard","Open","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.83156819573275e-05,291.762924996312,28.8032738169881,0.383123001916587,3,10,10,13,21,25,28,33,40,52,75.0332157474101,56.5149450722654,1327.35965487779,714.547106011959,32.4237895066487,-81.8320808328972,36.2242281498642
"247",247,247,247,247,247,"d22774",247,"Camera Trapper","North Carolina's Candid Critters Project","Transylvania County","Woods","Long_C_Transylvania2","Researcher","d22774s1","15:24:26","15:24:40","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-24 15:24:26","2017-03-24 15:24:40","2017-03-24","2017-03-24",83,2017,3,1,"2017-03-24","2017-04-14","Small Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1610657605171e-05,291.196102619561,30.5631313674694,0.401004589638647,0,0,0,0,2,2,3,5,5,5,417.946278956778,768.687200591326,978.321875383128,1632.5958950436,236.152378750136,-82.7788110635296,35.3444292170272
"248",248,248,248,248,248,"d22775",248,"Sciurus carolinensis","North Carolina's Candid Critters Project","Gaston County","Woods","Sanders_M_Gaston1","Researcher","d22775s10","17:36:30","17:36:33","Eastern Gray Squirrel","Unknown","Unknown","N",1,FALSE,"2017-03-25 06:06:25","2017-04-01 17:36:33","2017-04-01","2017-04-01",91,2017,4,2,"2017-03-25","2017-04-14","Large Forest","Woods","NULL","","No Bait","NULL","no bait","no trails","Water source/Spring","Creek",11,20,4608,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.65392002214855e-06,290.629100367592,26.1431830899591,0.397526617970783,0,0,0,3,7,18,42,82,142,197,347.060216598756,999.037657385994,40.0028760025695,313.01332094428,395.944900030263,-81.4068546485169,35.3800357253239
"249",249,249,249,249,249,"d22777",249,"Camera Trapper","North Carolina's Candid Critters Project","Haywood County","Woods","Selzer_D_Haywood1","Researcher","d22777s7","13:48:30","13:48:44","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-04-04 14:39:14","2017-04-13 13:48:44","2017-04-13","2017-04-13",103,2017,4,2,"2017-03-25","2017-04-13","Large Forest","Woods","NULL","Close to edge of 16 acres of forest next to 758 acres of woods, which in turn is next to 2900 acres of National Forest","No Bait","NULL","no bait","no trails","Not Entered","",16.5,19,226998,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66230576787054e-05,294.544994566867,24.9721391447765,0.402358982014409,0,0,1,2,3,5,10,14,17,18,258.210310489879,150.739488162943,458.955326179442,3330.37490691269,147.951993585443,-83.1173552230355,35.4969099940513
"250",250,250,250,250,250,"d22779",250,"Camera Trapper","North Carolina's Candid Critters Project","Johnston County","Woods","Bailey_B_Johnston2","Researcher","d22779s1","17:22:11","17:22:14","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-24 17:22:11","2017-03-24 17:22:14","2017-03-24","2017-03-24",83,2017,3,1,"2017-03-24","2017-04-14","Small Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Water source/Spring","Creek",20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8.26682553035506e-05,290.03016446032,31.9367846830331,0.391252618591314,0,0,0,4,14,43,71,119,169,216,372.932742208179,525.986445109805,320.780908464046,9.22940504718584,218.014732791581,-78.3442054495101,35.6664353963703
"251",251,251,251,251,251,"d22783",251,"Camera Trapper","North Carolina's Candid Critters Project","Rockingham County","","NCSUUpperPiedmont_Open_6","Researcher","d22783s1","13:06:09","13:06:11","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-25 13:06:09","2017-03-25 13:06:11","2017-03-25","2017-03-25",84,2017,3,1,"2017-03-25","2017-04-15","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6.68782080864671e-05,290.34368434851,34.7585334534989,0.3946692239855,0,0,3,14,23,33,51,69,113,159,236.799712887612,162.741454010162,68.1929682163403,239.460394192559,219.716195624766,-79.6916883959372,36.3690745388214
"252",252,252,252,252,252,"d22784",252,"Camera Trapper","North Carolina's Candid Critters Project","Burke County","","JohnsRiverGL_Forest_1","Researcher","d22784s1","10:24:13","10:24:37","Camera Trapper","Adult","Male","N",1,FALSE,"2017-03-24 10:24:13","2017-03-24 10:24:37","2017-03-24","2017-03-24",83,2017,3,1,"2017-03-24","2017-04-18","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,12,0,8.74709538668094e-06,290.940908958902,27.747300186691,0.387924223278412,0,5,10,26,32,41,56,73,89,128,163.608695324202,616.899058682667,380.004557978399,1776.28783276567,194.507622995237,-81.6937600696098,35.7927474607681
"253",253,253,253,253,253,"d22786",253,"Camera Trapper","North Carolina's Candid Critters Project","Bertie County","","BertieCountyGL_Forest_15","Researcher","d22786s1","16:58:50","16:58:54","Camera Trapper","Unknown","Unknown","N",3,FALSE,"2017-04-18 17:15:40","2017-03-29 16:58:54","2017-03-29","2017-03-29",88,2017,3,1,"2017-03-29","2017-04-18","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",10,20,358134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3.82632777270594e-05,289.756422427107,34.9578429874211,0.362770257553552,0,1,3,4,5,5,5,5,5,6,170.753046673768,702.492863473428,1158.04940021657,240.59186713133,305.897864770729,-76.9064574422795,35.968441029281
"254",254,254,254,254,254,"d22818",254,"Camera Trapper","North Carolina's Candid Critters Project","Anson County","","PeeDeeNWR_Trail_11","Researcher","d22818s1","15:02:31","15:02:34","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-25 15:02:31","2017-03-25 15:02:34","2017-03-25","2017-03-25",84,2017,3,1,"2017-03-25","2017-04-15","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.29106582423018e-05,290.946482762744,25.1568527960675,0.376320828491998,0,0,1,2,4,6,7,10,10,10,270.278034089488,826.037799087125,507.62713313274,3814.86197898285,73.8296582235955,-80.0923541362985,35.0566064288591
"255",255,255,255,255,255,"d22842",255,"Camera Trapper","North Carolina's Candid Critters Project","Pasquotank County","Open","Owen_W_Pasquotank1_REAL","Researcher","d22842s1","11:21:50","11:22:00","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-01-24 11:21:50","2017-01-24 11:22:00","2017-01-24","2017-01-24",24,2017,1,1,"2017-01-24","2017-02-14","Open","Open","NULL","NULL","No Bait","NULL","no bait","no trails","Water source/Spring","Stream",9,21,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3.69107969524075e-05,288.794502912148,34.8283728016542,0.416384949306974,0,0,0,0,1,4,15,22,34,66,490.666578449118,519.718982233903,51.9100605734037,1496.62330318738,613.204016120319,-76.2177014710873,36.1829504546354
"256",256,256,256,256,256,"d22843",256,"Camera Trapper","North Carolina's Candid Critters Project","Pasquotank County","Woods","Owen_W_Pasquotank2_REAL","Researcher","d22843s47","08:25:21","08:25:37","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-03-12 21:44:58","2017-03-23 08:25:37","2017-03-23","2017-03-23",82,2017,3,1,"2017-03-01","2017-03-23","Large Forest","Woods","NULL","White-tail only, and some very narcisistic or interested in the camera.","No Bait","NULL","no bait","no trails","Not Entered","",12,22,73565,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2.04884251500454e-05,293.393059416156,29.0002685680564,0.393499132433046,0,0,0,0,1,3,4,4,5,5,447.397891577466,503.750865925553,2294.58286418827,939.729418834341,850.875261086256,-76.1825185112324,36.1303848813186
